file.name,FilePath,ARU_ID,Date,JDate,year,Time,BinStarts,BinStarts_sec_past_midn,sunrise_sec_past_midn,songs_1,songs_2,songs_3,songs_4,songs_5,songs_6,others,listened,standardized_bs,two_min_sc
AB_01_1_2016-06-06_33900_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_033900.wav,AB_01_1,2016-06-06,158,2016,3:39:00,360,13500,16251,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-06_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_042300.wav,AB_01_1,2016-06-06,158,2016,4:23:00,0,15780,16251,0,0,1,0,0,0,n,y,Paired,1
AB_01_1_2016-06-06_43400_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160606_043400.wav,AB_01_1,2016-06-06,158,2016,4:34:00,120,16560,16251,0,0,1,0,1,1,y,y,Paired,3
AB_01_1_2016-06-10_33900_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_033900.wav,AB_01_1,2016-06-10,162,2016,3:39:00,240,13380,16085,3,2,3,1,3,1,n,y,Paired,13
AB_01_1_2016-06-10_35000_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_035000.wav,AB_01_1,2016-06-10,162,2016,3:50:00,360,14160,16085,3,4,5,3,2,2,n,y,Paired,19
AB_01_1_2016-06-10_40100_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_040100.wav,AB_01_1,2016-06-10,162,2016,4:01:00,240,14700,16085,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-10_40100_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_040100.wav,AB_01_1,2016-06-10,162,2016,4:01:00,360,14820,16085,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-10_41200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_041200.wav,AB_01_1,2016-06-10,162,2016,4:12:00,0,15120,16085,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-10_41200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160610_041200.wav,AB_01_1,2016-06-10,162,2016,4:12:00,120,15240,16085,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-11_33900_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160611_033900.wav,AB_01_1,2016-06-11,163,2016,3:39:00,240,13380,16055,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-11_35000_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160611_035000.wav,AB_01_1,2016-06-11,163,2016,3:50:00,240,14040,16055,1,1,1,0,1,2,n,y,Paired,6
AB_01_1_2016-06-12_33900_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_033900.wav,AB_01_1,2016-06-12,164,2016,3:39:00,360,13500,16028,4,4,3,2,2,2,n,y,Paired,17
AB_01_1_2016-06-12_40100_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_040100.wav,AB_01_1,2016-06-12,164,2016,4:01:00,120,14580,16028,5,5,4,5,4,2,n,y,Paired,25
AB_01_1_2016-06-12_42300_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160612_042300.wav,AB_01_1,2016-06-12,164,2016,4:23:00,240,16020,16028,0,0,1,1,2,1,n,n,Paired,5
AB_01_1_2016-06-13_33900_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_033900.wav,AB_01_1,2016-06-13,165,2016,3:39:00,480,13620,16006,1,4,3,1,6,3,n,n,Paired,18
AB_01_1_2016-06-13_40100_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_040100.wav,AB_01_1,2016-06-13,165,2016,4:01:00,240,14700,16006,4,4,3,3,5,3,n,y,Paired,22
AB_01_1_2016-06-13_43400_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160613_043400.wav,AB_01_1,2016-06-13,165,2016,4:34:00,0,16440,16006,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-14_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160614_042300.wav,AB_01_1,2016-06-14,166,2016,4:23:00,0,15780,15988,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-17_35000_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160617_035000.wav,AB_01_1,2016-06-17,169,2016,3:50:00,480,14280,15961,7,6,5,6,7,6,n,y,Paired,37
AB_01_1_2016-06-18_33900_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_033900.wav,AB_01_1,2016-06-18,170,2016,3:39:00,480,13620,15961,6,6,6,6,5,3,n,n,Paired,32
AB_01_1_2016-06-18_41200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_041200.wav,AB_01_1,2016-06-18,170,2016,4:12:00,120,15240,15961,0,0,0,0,0,1,y,n,Paired,1
AB_01_1_2016-06-18_41200_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_041200.wav,AB_01_1,2016-06-18,170,2016,4:12:00,480,15600,15961,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-18_42300_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160618_042300.wav,AB_01_1,2016-06-18,170,2016,4:23:00,120,15900,15961,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-19_35000_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160619_035000.wav,AB_01_1,2016-06-19,171,2016,3:50:00,0,13800,15965,4,4,7,4,4,3,n,n,Paired,26
AB_01_1_2016-06-20_40100_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_040100.wav,AB_01_1,2016-06-20,172,2016,4:01:00,360,14820,15974,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-20_40100_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_040100.wav,AB_01_1,2016-06-20,172,2016,4:01:00,480,14940,15974,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-20_42300_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_042300.wav,AB_01_1,2016-06-20,172,2016,4:23:00,0,15780,15974,0,0,1,0,0,0,n,y,Paired,1
AB_01_1_2016-06-20_42300_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160620_042300.wav,AB_01_1,2016-06-20,172,2016,4:23:00,360,16140,15974,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-21_40200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_040200.wav,AB_01_1,2016-06-21,173,2016,4:02:00,0,14520,15987,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-21_41159_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_041159.wav,AB_01_1,2016-06-21,173,2016,4:11:59,0,15119,15987,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-21_43157_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160621_043157.wav,AB_01_1,2016-06-21,173,2016,4:31:57,360,16677,15987,0,1,0,0,0,0,n,y,Paired,1
AB_01_1_2016-06-22_34200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_034200.wav,AB_01_1,2016-06-22,174,2016,3:42:00,120,13440,16004,0,3,4,3,1,5,n,n,Paired,16
AB_01_1_2016-06-22_41159_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,0,15119,16004,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-22_41159_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160622_041159.wav,AB_01_1,2016-06-22,174,2016,4:11:59,480,15599,16004,0,0,0,0,0,0,n,y,Paired,0
AB_01_1_2016-06-23_34200_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,0,13320,16026,7,7,7,7,7,7,n,n,Paired,42
AB_01_1_2016-06-23_34200_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_034200.wav,AB_01_1,2016-06-23,175,2016,3:42:00,120,13440,16026,7,7,7,7,7,6,n,n,Paired,41
AB_01_1_2016-06-23_43157_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160623_043157.wav,AB_01_1,2016-06-23,175,2016,4:31:57,240,16557,16026,0,0,0,0,0,0,n,n,Paired,0
AB_01_1_2016-06-26_35401_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160626_035401.wav,AB_01_1,2016-06-26,178,2016,3:54:01,120,14161,16117,4,3,4,5,5,5,n,n,Paired,26
